"25071177-NGRAMS1.txt","Lead Exposures in U.S. Children, 2008: Implications for Prevention"
"25434930-NGRAMS1.txt","RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver"
"25071134-NGRAMS1.txt","Integrating Human Health into Environmental Impact Assessment: An Unrealized Opportunity for Environmental Health and Justice"
"25472593-NGRAMS1.txt","Manganese Neurotoxicity: Lessons Learned from Longitudinal Studies in Nonhuman Primates"
"25071057-NGRAMS1.txt","Associations of Bone Mineral Density and Lead Levels in Blood, Tibia, and Patella in Urban-Dwelling Women"
"20749147-NGRAMS1.txt","Placental Transfer of Conjugated Bisphenol A and Subsequent Reactivation in the Rat Fetus"
"25165510-NGRAMS1.txt","Comparative Analysis of State Fish Consumption Advisories Targeting Sensitive Populations"
"25071006-NGRAMS1.txt","Childhood Asthma"
"25148456-NGRAMS1.txt","Following the Water: A Controlled Study of Drinking Water Storage in Northern Coastal Ecuador"
"25067925-NGRAMS1.txt","Conceptual Model of Comprehensive Research Metrics for Improved Human Health and Environment"
"25165511-NGRAMS1.txt","Acute Toxicity and Prothrombotic Effects of Quantum Dots: Impact of Surface Charge"
"20749163-NGRAMS1.txt","No Association between Arsenic Exposure from Drinking Water and Diabetes Mellitus: A Cross-Sectional Study in Bangladesh"
"25148452-NGRAMS1.txt","Murine Lung Responses to Ambient Particulate Matter: Genomic Analysis and Influence on Airway Hyperresponsiveness"
"25472605-NGRAMS1.txt","Diesel Exhaust Particles Activate the Matrix-Metalloproteinase-1 Gene in Human Bronchial Epithelia in a β-Arrestin-Dependent Manner via Activation of RAS"
"25434935-NGRAMS1.txt","Quantitative Approach for Incorporating Methylmercury Risks and Omega-3 Fatty Acid Benefits in Developing Species-Specific Fish Consumption Advice"
"25165525-NGRAMS1.txt","Guidelines to Evaluate Human Observational Studies for Quantitative Risk Assessment"
"25067934-NGRAMS1.txt","Perfluorooctanoic Acid-Induced Immunomodulation in Adult C57BL/6J or C57BL/6N Female Mice"
"25071189-NGRAMS1.txt","Air Pollution and Odor in Communities near Industrial Swine Operations"
